"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"recJ652GDasheQpai","Lund Humphries Publishers,  (England |  |  | London |  |  |)","Lund Humphries Publishers","['recqdvLDX4FnsD7mI']","['recBZayALBjPIg3J5']","1"
"recWiUbhKs8nt4OMK","Evans Bros.,  (England |  |  | London |  |  |)","Evans Bros.","['recqdvLDX4FnsD7mI']","['rec7AjviMLnW2U33o', 'recG0iswpTCzyGLB3', 'recTK6TKNqifwA3m5', 'recPmOoaFHuRPbF1w']","4"
"recR7CVkmjpykdG1E","Presses Universitaires de France,  (France |  |  | Paris |  |  |)","Presses Universitaires de France","['recJVFJjSos0pByqm']","['recVua55sfCx7nO0D']","1"
"recPdt5HdAPzg4omb","Presence Africaine,  (France |  |  | Paris |  |  |)","Presence Africaine","['recJVFJjSos0pByqm']","['recYEEVb2ZMNY9qmP', 'rectDew4eNUATw8jh', 'rechyHKWq09xbZ8P9', 'recdAWCnkeLqeY2sQ', 'recHyTgQs8m4b0sAa', 'rec1tgaesWSoGJ7VP', 'recXqTTUET3QdSdEc', 'rec26QFJop9sTNYh2', 'recKsCKjCp9TQ1D3a', 'recbnkE07bsEJOI9f', 'recElKdZmoYsZ4cEI', 'recpdwTiFFv6utLX6', 'rec0Xrd8jIsVmpsZr', 'recO4VA5ytiWiolLG', 'recegaYQuthAey0DL', 'recWUqU7kkWcmpniD', 'recOpoW54lh34ylon', 'rech1CHNpOwos5AcF', 'recnlsUPOOKSYjPfK', 'recsiQnBeQnscUuXo', 'recGGNRH26czG3YSp', 'recGebxuu0BenP6df']","22"
"recIfFo8GEcipeOhL","Morford & Field,  ()","Morford & Field","","['recF5q9eO4mIMx92o']","1"
"rec5KRL7sGpNTOoVV","Anchor Books,  (United States | New York |  | New York |  |  |)","Anchor Books","['recqWqrNjE6c3GTCl']","['recLYFO7Dj2arGJd2', 'recdhAzmsyuZWKJrC', 'recbfd5b4mhlVyBHk']","3"
"recu8F8fP49uw1loO","East African Literature Bureau,  (Kenya |  |  | Nairobi |  |  |)","East African Literature Bureau","['rec3ajsXVTrzBXbZ7']","['rec41iXGRFr6moe6k']","1"
"recN2fMNnOIP9iWI7","Barrie & Jenkins,  (England |  |  | London |  |  |)","Barrie & Jenkins","['recqdvLDX4FnsD7mI']","['recYlCsn0QagLvh9a', 'recr5S9xChknesx6g']","2"
"recAn0nleuHJLCtI7","French & European Pubns,  ()","French & European Pubns","","['rec8LxwZDMkMYbU8I', 'recNzxhXjdApaHyqd']","2"
"recxUG5BNB2m8V6ai","Afrikaanse Pers-Boekhandel,  (South Africa |  |  | Johannesburg |  |  |)","Afrikaanse Pers-Boekhandel","['receqvJHUxo7fwpt1']","['rec75Y95Zc1Ekyqfj', 'recjfqgN68o02kuYk', 'recGjrDDzOKKEhDpd', 'recUCVOOaJh7te9Rk', 'recblZhASNS77neet', 'recm5m24vcUQBX1no']","6"
"recO7fUaPJ7zCRzpI","Longmans of Nigeria,  (Nigeria |  |  | Lagos |  |  |)","Longmans of Nigeria","['recQ44IdKFxMds43h']","['recFuaeTZmNSPPaZt']","1"
"recM77t4nqcWoip8i","New Coin,  ()","New Coin","","['rec4g4uqG63p0PAqc']","1"
"recOnF1AnpkeZdONq","Routledge Kegan & Paul,  (England |  |  | London |  |  |)","Routledge Kegan & Paul","['recqdvLDX4FnsD7mI']","['rec9QQK0vD6zmMzDq', 'rec2oS0dLxlU790dn', 'recH2ON6Sa6RNpVVN', 'reczQAVLELDK28zfu', 'rec64TrNuqxTaDNGe']","5"
"recw0UugZNPT5QsdQ","Umuzi,  (South Africa |  |  | Cape Town |  |  |)","Umuzi","['recaFh0XjN5t82tvf']","['recc4LUsJyVhW6ftV', 'recuPnE14UpZzP0fo']","2"
"rec1iOJuP4Moe5Kiy","Mbari Publications,  (Nigeria |  |  | Ibadan |  |  |)","Mbari Publications","['recNzKrK8sZIVIUBi']","['recuoB2bFIeDsKzrA', 'rec8lGCqQOuXAal4h', 'recXGsqE92vfqwKeq', 'receO1NAlAbU3qNW1', 'rec0ek0aUUFEgYuhj', 'receIbYGawz9clcFR']","6"
"recaawwAnlbGu5aL5","Isbister and Co. Ltd.,  ()","Isbister and Co. Ltd.","","['recUvit94dteJkAmI']","1"
