"airtableID","Id","Name","[locations]","educations [join]"
"rec3UcACnZ7nRnLgJ","University of London,  (England |  |  | London |  | )","University of London","['recR6YHhrfthZo5tS']","['recBz0r5IQMtwIZXu', 'recBQGckUEYZWjVmf', 'recV5wBEZ5NgiuWnu', 'recztiCP4kW6rRBpg', 'recek3hFKBCSU4y3k']"
"recIuDplcCMTO7LGM","University of Nairobi,  (Kenya |  |  | Nairobi |  | )","University of Nairobi","['recu3MoBp4ft8I96h']","['recomo5QML4LfIhPt', 'recCfCuNd1LT6topz', 'recktItgq1vfk5dum']"
"reclVYmTzRdtU5nFj","University of Sussex,  (England | East Sussex |  | Brighton and Hove |  | )","University of Sussex","['recJw3JIo8MOXLfN9']","['rec7YfmGNt3zZ6Ppj', 'recKIDJSbBFli5B3H', 'recNfBOxOvaAsQpH4', 'rec2oPjZEICABYBLD']"
"recU1181cFym9Ua3L","Pembroke College,  (England |  | Cambridgeshire | Cambridge |  | )","Pembroke College","['recRLZkA0sd1SZeH4']","['reciIbNMJzDGX5im5']"
"reckCinxwCpSrlLAH","Birmingham University,  (England |  |  | Birmingham |  | )","Birmingham University","['recvjqwts6F7tSGE3']","['recRY6aSay37oKGZm', 'rece1kecCthKY6aj0', 'recUVTwf9LjY7uAwJ']"
"rec2IOTyHklDXW9sv","College of Management,  (Ghana |  |  |  |  | )","College of Management","['recaFVB5L8VE1JnKq']","['recdotx7af8f2pKNI']"
"recFauqOCVHvsrhDD","Diocesan College,  (South Africa |  |  | Cape Town |  | )","Diocesan College","['recByKWBNYTnFNrCp']","['recGOnonp6IVkuYm1']"
"recIn5ATPmEjmbIdX","University of the North,  (South Africa |  |  |  |  | )","University of the North","['recKow3Gb4ICpWOsk']","['reclC0BB1EgZW5Lfv']"
"recS5KcBE4NV84OLo","Jacksonville State University,  (United States | Florida |  |  |  | Jacksonville)","Jacksonville State University","['recCh5zT4gTEqFlEH']","['recPzdyyFpCGBgvsC']"
"rec7R8Emp5CJIv5nN","Georgetown University,  (United States | District of Columbia |  | Washington |  | )","Georgetown University","['recZ8nuD8yhiuQwZM']","['recWvA4cXZm1XCSqb']"
"recDhAfKx4vRdxagr","Guanajuato University,  (Mexico | Guanajuato |  |  |  | )","Guanajuato University","['recxJLlNqdktapSnk']","['recPCyUlQr8bkgkgi']"
"recrM6qG5giOBoDjZ","Ghana School of Law,  (Ghana |  |  | Accra |  | )","Ghana School of Law","['recuKEdPzd1pJCj4L']","['recTw2dsxwmX1oGHe']"
"recVAvWJAPYxIkrsx","University of California, Davis,  (United States | California |  | Davis |  | )","University of California, Davis","['recuvosoY8DloyZ2q']","['rec25wtCU7I1NKGCl']"
"recds3PhMd8o29yyW","University of Michigan, Ann Arbor,  (United States | Michigan |  | Ann Arbor |  | )","University of Michigan, Ann Arbor","['rec96YNMPa6K5r4Qp']","['recc3oRsewsbqjH6a', 'rec7FN2SeL4o5k5Ak', 'recxwjanTCeDEI02L', 'reci9iJZafSS81INd', 'recqzw6Oai4WkpLhH']"
"rec3P2dsy8x6zGGvF","American River College,  (United States | California |  | Sacramento |  | )","American River College","['recQSRIXfl6zg8M5g']","['recpxHepyYfVH96f3']"
"recEe7EiVLG3gFCVI","University of California, Berkeley,  (United States | California |  | Berkeley |  | )","University of California, Berkeley","['recs21lUwTGkDcaMD']","['recabdt0G0CSZBAgb']"
"reckGlPEfDxCeZOTj","University of Tunis,  (Tunisia |  |  | Tunis |  | )","University of Tunis","['recNHqLPj6mI49ZDJ']","['recCj1x4ZQNFGRfuD', 'recegR4pfawFc4Wgk']"
"reczkavbKNoJ5q1Z5","Moulay Youssef Technical High School,  (Morocco |  |  | Tangier |  | )","Moulay Youssef Technical High School","['rec0qzUiakSQ8NrGz']","['recvUC2ASmavPnKxB']"
"recgv5XLCYlLjzNal","University of Granada,  (Spain |  |  | Granada |  | )","University of Granada","['recgDy8R8CddNNthz']","['recBWUMR2p1Vam0ay']"
"recNhgxnPYveCwWML","University of Wales,  (Wales |  |  | Cardiff |  | )","University of Wales","['recANP1LRDcykcMlc']","['recvCKdY2kj0IBtLG', 'recDbsKT4KilSWUht', 'recPZyy8wVvYhGxdu']"
"recSR4hym6I1rMNMm","Anglia Ruskin University, Cambridge,  (England |  | Cambridgeshire | Cambridge |  | )","Anglia Ruskin University, Cambridge","['recRLZkA0sd1SZeH4']","['rec4qfevrnvG0ihOp']"
"recsPSRb1tKYsIouq","University of Sciences and Technology Houari Boumediiène,  (Algeria |  |  | Algiers |  | )","University of Sciences and Technology Houari Boumediiène","['rec1xjUfqFvAT0vUG']","['rec8yIUHQ0pEO1h14']"
"recL3zeftc3MkiydE","University of Cambridge,  (England |  | Cambridgeshire | Cambridge |  | )","University of Cambridge","['recRLZkA0sd1SZeH4']","['recZw4cJkjQrtePFr', 'reck4uQnA14q2yDat']"
"recItBGSx5eXcqcQn","University of Calabar, Nigeria,  (Nigeria |  |  | Calabar |  | )","University of Calabar, Nigeria","['recBazq4hhKHNmemo']","['recnzOXHdtaMWrY70']"
"rec8EAWldNvAIHfcH","Lancaster University,  (England |  | Lancashire | Lancaster |  | )","Lancaster University","['rec6S7AgFWRg8VZs9']","['recSXLh65n1XbNRvY', 'recovSDhf4vnglinj']"
"recIg9wrsAgzhFdSu","University of British Columbia,  (Canada | British Columbia |  | Vancouver |  | )","University of British Columbia","['recANyn5BLZr2cHCG']","['reccSuezNiGsLoHWS', 'rec8HVmwd0gM4cdWS', 'rec7yd5hXSYCakD48']"
"recB7wZoySRHNP1db","Design Academy Eindhoven,  (Netherlands |  |  | Eindhoven |  | )","Design Academy Eindhoven","['rec7kunJpJeqrnWfj']","['recX2sVrJP1Poefbm']"
