"airtableID","Primary Field","Author","[person]","[works]","Name [Role]"
"rece2ezWVnqohafJa","[apdp.work.000185] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['recID4HyefZsrKakR']","Poet"
"rece6Q2gIC4XQU9NL","[apdp.work.000295] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet) - author","True","['recrkX4daZNLsq0cZ']","['recmRUEB0QxMxNkgM']","Poet"
"rece8SFqNiwYFVGwj","[apdp.work.000524] ""Kunene, Mazisi 'Raymond' 
(1930-2006)"" (Poet) - author","True","['rec7C07UyBGMs8tw8']","['rec8jVWTyt3aTbyWH']","Poet"
"recfCzqYMONe8Qz7J","[apdp.work.000199apdp.work.000789] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet) - author","True","['recrkX4daZNLsq0cZ']","['recHiLeBpuTNi4YsR', 'recQejQTch6WKoYPX']","Poet"
"recfCE0MfweLMMSBJ","[] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","","Poet"
"recfDjY9oInys1wtQ","[apdp.work.000020] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Mentioned Poet)","","['recrkX4daZNLsq0cZ']","['recZxBfQg1MhMEMuL']","Mentioned Poet"
"recfEYYPSZaOu5SOB","[apdp.work.000344] ""Brutus, Dennis Vincent 
(1924-2009)"" (Mentioned Poet)","","['recaLBDKPomp4cstB']","['recG2E3tvYeD7wrww']","Mentioned Poet"
"recfEa1LqJccvfQ4t","[apdp.work.000589] ""Gouldsbury, Cullen 
(1881-1916)"" (Poet) - author","True","['recwMQtGCJJjvPZEA']","['rec1XDgMW1UWEEZCN']","Poet"
"recfGO97ezvfAsfvu","[apdp.work.000499] ""MacNab, Roy 
(1923-2004)"" (Poet) - author","True","['recyTF3ighE5lXHsa']","['recJVuAF00KpIApnr']","Poet"
"recfJfo4oT1dQXujA","[apdp.work.000182] ""Delius, Anthony 'Ronald St. Martin' 
(1916-1989)"" (Poet)","","['recbF6fKg6E5WaoqP']","['recozVmiDdj9XhIlA']","Poet"
"recfKrTxcXLn00ek6","[apdp.work.000278] ""van Heerden, Ernst 
(1916-1997)"" (Poet) - author","True","['recu43DbrUayW9AhJ']","['recDc5CQ0RQIgPlxf']","Poet"
"recfgVR7sYP9HGoDC","[] ""U Tam'si, Tchicaya 
(1931-1988)"" (Poet)","","['recPxmrXdENsL9H4t']","","Poet"
"recfhdZ5lE5KK9bgl","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","","Poet"
"recfmqVWX0jIL6Sp2","[apdp.work.000181] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet)","","['recrkX4daZNLsq0cZ']","['rec8pkYh44I9EZjVI']","Poet"
"recfwaPAwOvnP9Xyt","[apdp.work.000090] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['recMgRCPWroEil3Qn']","Poet"
"recfwKe2b691hIEB3","[apdp.work.000344] ""Liyong, Taban Lo 
(1939-)"" (Mentioned Poet)","","['recGE7Fcz5oCLV3Qn']","['recG2E3tvYeD7wrww']","Mentioned Poet"
"recfxdzCsUG8QAFVa","[apdp.work.000027] ""Banham, Martin 
(1932-)"" (Editor) - author","True","['recar9hzCeX3k4Wzq']","['recKcjEpO2Wk29GL2']","Editor"
"recfyFmutBUMC9aHe","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","","Poet"
"recfBWu230lLoVlsg","[apdp.work.000683] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet) - author","True","['recmyildMjXhoC72X']","['recmfEJVvHoRHD4Za']","Poet"
"recfBzVfA81KLJgme","[apdp.work.000130] ""Okigbo, Christopher 
(1932-1967)"" (Poet)","","['recBvLFtelOVzL0YK']","['recNInCLPTwVUICq5']","Poet"
"recfMBeC2yEoxBOw6","[apdp.work.000739] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Mentioned Poet)","","['recOo2kpeQuQEciaC']","['recYCvClCsXzG3iu1']","Mentioned Poet"
"recfO1WOMEotkO43G","[apdp.work.000664] ""Cripps, Arthur Shearly 
(1869-1952)"" (Poet) - author","True","['recHqhKMTrYFElsxy']","['recMvXvTTHCmvsUxL']","Poet"
"recfRqhSKQzGH4yox","[apdp.work.000435] ""Opperman, Diederik Johannes 'D. J.' 
(1914-1985)"" (Poet) - author","True","['receqlqqlevq2dKGL']","['rec0uZN1ptngIRlE9']","Poet"
"recfVSzHDAbH00gbQ","[apdp.work.000129] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['rech66EnGd2iEqIJv']","Poet"
"recfXmbh8j9flojvy","[apdp.work.000729] ""Byron, Mary 
(-)"" (Poet)","","['rect3q1WANWYg0biY']","['recYUPn8Rg8P5RwGN']","Poet"
"recf2QJIT5uH4VSC4","[apdp.work.000180] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['rec5IprsXc3A0RVtt']","Poet"
"recf3AQ2VFT7sm3IX","[apdp.work.000526] ""Kunene, Mazisi 'Raymond' 
(1930-2006)"" (Poet) - author","True","['rec7C07UyBGMs8tw8']","['recl3r6olc0S6R0oa']","Poet"
"","[apdp.work.000434] ""Opperman, Diederik Johannes 'D. J.' 
(1914-1985)"" (Poet) - author","True","['receqlqqlevq2dKGL']","['recLgciHgKeDkmlwE']","Poet"
"","[apdp.work.000606] ""Eybers, Elisabeth Françoise 
(1915-2007)"" (Poet) - author","True","['recILPJVJuPdNhbGD']","['rec8fQyLl6HYtyGbZ']","Poet"
"","[apdp.work.000353] ""Rousseau, Ina 
(1926-2005)"" (Poet) - author","True","['recZS4g43q5Io7CpK']","['rectJazDOOYIqNfWu']","Poet"
"","[] ""Okigbo, Christopher 
(1932-1967)"" (Poet)","","['recBvLFtelOVzL0YK']","","Poet"
"","[apdp.work.000245] ""Watermeyer, Gottfried Andreas 'G. A.' 
(1917-1972)"" (Author)","","['rech3QgHUlRA7jtQu']","['reccmuYi5qfSofmj1']","Author"
"","[apdp.work.000410] ""Plomer, William 
(1903-1973)"" (Poet) - author","True","['rechXmQTzrc8eiWTu']","['reckE72w8GKSDMs06']","Poet"
"","[apdp.work.000471] ""Neale, H. Woodhouse 'Mome' 
(-)"" (Poet)","","['recj6nce2HJQvhZQO']","['recEBQ0Qeb0bSYoJ7']","Poet"
"","[apdp.work.000640] ""Dadié, Bernard Binlin 
(1916-2019)"" (Poet) - author","True","['rec11TfWLtdgg0lSe']","['recoNpjO1ORjINWvD']","Poet"
"","[apdp.work.000064] ""Cullinan, Patrick 
(1933-2011)"" (Poet)","","['recyw3iYZDrBScLGY']","['recdWGeVcuOOGn2om']","Poet"
"","[apdp.work.000247] ""Watermeyer, Gottfried Andreas 'G. A.' 
(1917-1972)"" (Poet) - author","True","['rech3QgHUlRA7jtQu']","['recNYPYIZnIK8IZuy']","Poet"
"","[apdp.work.000160] ""Kunene, Mazisi 'Raymond' 
(1930-2006)"" (Poet)","","['rec7C07UyBGMs8tw8']","['recPMwAPCWxA6uf5e']","Poet"
"","[] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","","Poet"
"","[apdp.work.000020] ""Okigbo, Christopher 
(1932-1967)"" (Mentioned Poet)","","['recBvLFtelOVzL0YK']","['recZxBfQg1MhMEMuL']","Mentioned Poet"
"","[apdp.work.000551] ""Kipling, Rudyard 
(1865-1936)"" (Poet) - author","True","['reczzEEtGIZ7fG1l5']","['recfZwwfl5Z4EQIhE']","Poet"
"","[apdp.work.000177] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['recimd5BulAB4xvoV']","Poet"
"","[apdp.work.000738] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet) - author","True","['recOo2kpeQuQEciaC']","['recIzbK4QEpsb8yKh']","Poet"
"","[apdp.work.000274] ""van Heerden, Ernst 
(1916-1997)"" (Poet) - author","True","['recu43DbrUayW9AhJ']","['recs88xUbuxzNlqqL']","Poet"
"","[apdp.work.000131] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","['rec1AsRj1iqnClj0N']","Poet"
"","[apdp.work.000012] ""Coetzee, John Maxwell ' -J. M. ' 
(1940-)"" (Poet)","","['rec9K8rwRHOdeLU5I']","['recF6Pzv9tfiNz2wZ']","Poet"
"","[apdp.work.000677] ""Couzyn, Jeni 
(1942-)"" (Poet) - author","True","['reczJCspFdg3hHW9B']","['recBuEcamWOeXMC7w']","Poet"
"","[] ""Senghor, Léopold Sédar 
(1906-2001)"" (Poet)","","['recBdxaNWIHd4zhkg']","","Poet"
"","[] ""Senghor, Léopold Sédar 
(1906-2001)"" (Poet)","","['recBdxaNWIHd4zhkg']","","Poet"
"","[apdp.work.000020] ""Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor' 
(1935-2013)"" (Mentioned Poet)","","['recw6xteDA4loPFr8']","['recZxBfQg1MhMEMuL']","Mentioned Poet"
"","[apdp.work.000055] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['reccIKH41ee2m5fZ9']","Poet"
"","[apdp.work.000212] ""Hasan, Muhammad Abdille 
(1864-1920)"" (Poet)","","['recuXAbQCRxJfNW1g']","['recuNwBllwMz1OOIf']","Poet"
"","[apdp.work.000537] ""Krog, Antjie 
(1952-)"" (Poet) - author","True","['rectR28bCv8ff49mc']","['recsfTkKIyOU8tuUp']","Poet"
"","[apdp.work.000674] ""Couzyn, Jeni 
(1942-)"" (Poet) - author","True","['reczJCspFdg3hHW9B']","['rech1hGLvZeBbHK5L']","Poet"
"","[apdp.work.000585] ""Gouldsbury, Cullen 
(1881-1916)"" (Poet) - author","True","['recwMQtGCJJjvPZEA']","['recdGNHljkKK6dnAC']","Poet"
"","[apdp.work.000230] ""Plaatje, Solomon Tshekisho 
(1876-1932)"" (Poet)","","['recNAQVBBlO8rp7LF']","['reckHoEuJcOrHz0Hw']","Poet"
"","[apdp.work.000178] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['recU5CfCtkhlFljXz']","Poet"
"","[apdp.work.000054] ""Mphahlele, Ezekiel 'Es'kia' 
(1919-2008)"" (Editor)","","['recnNkf2IUSFuHWfT']","['recZxtgPaFb68UaKD']","Editor"
"","[apdp.work.000713] ""Breytenbach, Breyten 
(1939-)"" (Mentioned Poet) - author","True","['recIGSwI3zYEGJaaM']","['recSZyDIlAdA6Rblu']","Mentioned Poet"
"","[apdp.work.000476] ""Murray, Charles 
(1864-1941)"" (Author)","","['recwQ5dRw8u3Oqt5w']","['recI9UE11V50Ip6KZ']","Author"
"","[apdp.work.000139] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","['recbGQRHdle9qNX6f']","Poet"
"","[apdp.work.000007] ""Chew, Shirley 
(-)"" (Editor)","","['recqXaYP6bmE0qYDK']","['recIAbPX3kiE86h1I']","Editor"
"","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","","Poet"
"","[apdp.work.000075] ""Senghor, Léopold Sédar 
(1906-2001)"" (Mentioned Poet)","","['recBdxaNWIHd4zhkg']","['recUwHsIIYIuqh6qr']","Mentioned Poet"
"","[apdp.work.000675] ""Couzyn, Jeni 
(1942-)"" (Poet) - author","True","['reczJCspFdg3hHW9B']","['rec8X2N6KGy1xNFmi']","Poet"
"","[apdp.work.000630] ""Davis, Philip Rufus 
(-)"" (Poet)","","['recZRGFsEJBzKofvM']","['recPxfFVCL7XGsPmM']","Poet"
"","[apdp.work.000340] ""Senghor, Léopold Sédar 
(1906-2001)"" (Mentioned Poet) - author","True","['recBdxaNWIHd4zhkg']","['recjqYC5u4GQLmLV4']","Mentioned Poet"
"","[apdp.work.000301] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Mentioned Poet)","","['recrkX4daZNLsq0cZ']","['recC10WKwW5zEdB4i']","Mentioned Poet"
"","[apdp.work.000141] ""Liyong, Taban Lo 
(1939-)"" (Poet)","","['recGE7Fcz5oCLV3Qn']","['rec2zSByaU50BnenB']","Poet"
"","[apdp.work.000302] ""Okara, Gabriel 
(1921-2019)"" (Mentioned Poet)","","['recUiPx4caoRhWvaM']","['recYLgNgKsARUXpB1']","Mentioned Poet"
"","[apdp.work.000092] ""Okara, Gabriel 
(1921-2019)"" (Poet)","","['recUiPx4caoRhWvaM']","['rec8ZMUXdIZc9cacF']","Poet"
"","[apdp.work.000235] ""Wright, David 
(1920-1994)"" (Poet) - author","True","['recX3e6HGV46vJgzl']","['recOneosLHezg5sEi']","Poet"
"","[apdp.work.000178] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","['recU5CfCtkhlFljXz']","Poet"
