ID,Last Name,Given Name,Alternate Name,Featured,Country,Region,Gender,Selected Works,Authority,Text,Notes
ap.per.00142,Johnson,Sarah,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/58800371/,,
ap.per.00143,Joumari,Ahmed,,,Morocco,North Africa,M,,,,found on Poetry International
ap.per.00144,Kadmi-Nzuji,Mukula,Dieudonné,,"Congo, Democratic Republic Of",Central Africa,M,,,,
ap.per.00145,Kahengua,Kavevangua,,,Namibia,Southern Africa,M,,https://viaf.org/viaf/56309568/,,
ap.per.00146,Kaldas,Pauline,,,Egypt,North Africa,F,,https://viaf.org/viaf/15881499/,,
ap.per.00147,Kalu,Uchechi,,,Nigeria,West Africa,F,,,,
ap.per.00148,Kalu,Pete,,,Nigeria,West Africa,M,,,,
ap.per.00149,Kamanda,Kama Sywor,,,"Congo, Democratic Republic Of",Central Africa,M,,,,
ap.per.00150,Kamfer,Ronelda,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/2286276/,,
ap.per.00151,Kane,Amadou Lamine,,,Senegal,West Africa,M,,,,
ap.per.00152,Kaouah,Abdelmajib,,,Algeria,North Africa,M,,https://viaf.org/viaf/44457358/,,"spelled ""Abdelmadjid"""
ap.per.00153,Karim,Abdul,,,Egypt,North Africa,,,,,Found on Poem Hunter
ap.per.00154,Kasese,Nyachiro Lydia,,,Tanzania,East Africa,F,,https://viaf.org/viaf/112146461455727730608/,,
ap.per.00155,Kes,Kat Kol,Katlego Kai Kolanyane-Kesupile,,Botswana,Southern Africa,,,,,Has website: https://kkolkes.wixsite.com/kkolkes
ap.per.00156,Kgositsile,Keorapetse,"William, ""Bra Willie""",,South Africa,Southern Africa,M,,https://viaf.org/viaf/61565142,,
ap.per.00157,Khala,Sheila,Nomolanga,,Lesotho,Southern Africa,F,,https://viaf.org/viaf/131772565/,,
ap.per.00158,Khalifa,Ehab,Mahmoud,,Egypt,North Africa,,,,,Found (maybe) on Poem Hunter
ap.per.00159,Khan,Amin,,,Algeria,North Africa,M,,https://viaf.org/viaf/17267056/,,
ap.per.00160,Khumalo,Mbongeni,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/39086573/,,
ap.per.00161,Kiguwa,Melissa,,,Uganda,East Africa,F,,https://viaf.org/viaf/309900337/,,
ap.per.00162,Kinyatti,Maina,,,Kenya,East Africa,M,,https://viaf.org/viaf/73884979/,,
ap.per.00163,Kishani,Bongasu Tanla,,,Cameroon,Central Africa,M,,,,
ap.per.00164,Kok,Ingrid de,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/93075890/,,
ap.per.00165,Kombem,Sim,,,Cameroon,Central Africa,M,,,,
ap.per.00166,Kor,Buma,,,Cameroon,Central Africa,M,,,,
ap.per.00167,Kozain,Rustum,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/24338888/,,
ap.per.00168,Krog,Antjie,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/162851/,,
ap.per.00169,Kunene,Mazisi,Raymond,,South Africa,Southern Africa,M,,http://viaf.org/viaf/100271242,,
ap.per.00170,Kuwabong,Dannabang,,,Ghana,West Africa,M,,https://viaf.org/viaf/24665152/,,
ap.per.00171,Kwachou,Monique,,,Cameroon,Central Africa,F,,,,
ap.per.00172,Laâbi,Abdellatif,,,Morocco,North Africa,M,,https://viaf.org/viaf/31998568/,,
ap.per.00173,Laghouati,Abdelhamid,,,Algeria,North Africa,M,,https://viaf.org/viaf/56770547/,,
ap.per.00174,Laing,Kojo,Bernard,,Ghana,West Africa,M,,https://viaf.org/viaf/66517334/,,
ap.per.00175,Lamrani,Wafa'a,,,Morocco,North Africa,,,,,
ap.per.00176,Langmia,Irmagard Anchang,,,Cameroon,Central Africa,F,,,,
ap.per.00177,Lara,Alda,Alda Ferreira Pires Barreto de Lara Albuquerque,,Angola,Central Africa,F,,,,
ap.per.00178,Laugier,Emmanuel,,,Morocco,North Africa,M,,https://viaf.org/viaf/46310431/,,
