ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00069,Remi Raji,,Raji,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00230,Youssef Rakha,*,Rakha,,,Egypt,Northern Africa,Index,,,,
ap.per.00311,Lesego Rampolokeng ,*,Rampolokeng,,,South Africa,Southern Africa,Index,,,,~~ need to find something else
ap.per.00003,Jofre Rocha,,Rocha,,,Angola,Middle Africa,Anthology,M,,http://viaf.org/viaf/118911190,
ap.per.00196,Kristina Runganyo,*,Runganyo,,,Zimbabwe,Eastern Africa,Index,F,,,
ap.per.00215,Maher Sabry,,Sabry,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00277,Amina Said,,Said,,,Tunisia,Northern Africa,Anthology,,,,
ap.per.00355,Arja Salafranca,*,Salafranca,,,South Africa,Southern Africa,Index,,,,
ap.per.00269,Abdel-ilah Salhi,*,Salhi,,,Morocco,Northern Africa,Index,,,,
ap.per.00117,Thierno Seydou Sall,*,Sall,,,Senegal,Western Africa,Index,M,,,
ap.per.00112,Tijan M. Sallah,,Sallah,,,The Gambia,Western Africa,Anthology,M,,,
ap.per.00050,Alda do Espirito Santo,,Santo,,,"Congo, Democratic Republic Of",Middle Africa,Anthology,F,,,
ap.per.00371,Barolong Seboni ,*,Seboni,,,Botswana,Southern Africa,Index,,,,(poem in penguin modern anthology)
ap.per.00208,Mohamed Sehaba,*,Sehaba,,,Algeria,Northern Africa,Index,,,,
ap.per.00343,Sydney Sipho Sepamla,*,Sepamla,,,South Africa,Southern Africa,Index,,,,
ap.per.00312,Mongane Wally Serote,*,Serote,,,South Africa,Southern Africa,Index,,,,
ap.per.00114,Kadija Sesay,*,Sesay,,,Sierra Leone,Western Africa,Index,F,,,
ap.per.00144,Bewketu Seyoum,,Seyoum,,,Ethiopia,Eastern Africa,Index,M,,, (maybe)
ap.per.00221,Ahmed al-Shahawi,,Shahawi,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00222,Mahmoud Sharaf,*,Sharaf,,,Egypt,Northern Africa,Index,,,,
ap.per.00235,Hatham El-Shawwaf,*,Shawwaf,,,Egypt,Northern Africa,Index,,,,
ap.per.00142,Mahtem Shiferraw,,Shiferraw,,,Ethiopia,Eastern Africa,Anthology,F,,,
ap.per.00173,Warsan Shire ,,Shire,,,Somalia,Eastern Africa,Anthology,F,,,
ap.per.00081,Lola Shoneyin,*,Shoneyin,,,Nigeria,Western Africa,Index,F,,,
ap.per.00234,Guirguis Shoukry,*,Shoukry,,,Egypt,Northern Africa,Index,,,,
ap.per.00214,Mas’oud Shouman,,Shouman,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00135,Ribka Sibhatu,,Sibhatu,,,Eritrea,Eastern Africa,Anthology,F,,,
ap.per.00197,Emmanuel Sigauke,*,Sigauke,,,Zimbabwe,Eastern Africa,Index,M,,,
ap.per.00119,Tome Varela da Silva,*,Silva,,,Cape Verde,Western Africa,Index,M,,,
ap.per.00046,Theirry Sinda,*,Sinda,,,Congo (Brazzaville),Middle Africa,Index,M,,,
ap.per.00329,Adam Small,*,Small,,,South Africa,Southern Africa,Index,,,,
ap.per.00286,Kelwyn Sole,,Sole,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00169,Noemia de Sousa,,Sousa,,,Mozambique,Eastern Africa,Anthology,F,,,
ap.per.00064,Wole Soyinka,+,Soyinka+,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00293,Wilma Stockenstrom,,Stockenstrom,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00029,Alain Lawo-Sukam,*,Sukam,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00088,EE Sule,*,Sule,,,Nigeria,Western Africa,Index,M,,,
ap.per.00270,Abdelkarim Tabbal,*,Tabbal,,,Morocco,Northern Africa,Index,,,,
ap.per.00093,Veronique Tadjo,,Tadjo,,,Cote d’Ivoire,Western Africa,Anthology,F,,,
ap.per.00213,Ahmed Taha,,Taha,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00037,Matthew Takwi,*,Takwi,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00260,Mohammed Abu-Talib,*,Talib,,,Morocco,Northern Africa,Index,,,,
ap.per.00167,Habib Tengour,,Tengour,,,Algeria,Northern Africa,Anthology,M,,,
ap.per.00206,Habib Tengour,*,Tengour,,,Algeria,Northern Africa,Index,,,,double check
ap.per.00207,Hamid Tibouchi,*,Tibouchi,,,Algeria,Northern Africa,Index,,,,
ap.per.00165,Umar Timol,,Timol,,,Mauritius,Eastern Africa,Anthology,M,,,
ap.per.00166,Khal Torabully,,Torabully,,,Mauritius,Eastern Africa,Anthology,M,,,
ap.per.00045,Marie-Leontine Tsibinda ,,Tsibinda,,,Congo (Brazzaville),Middle Africa,Index,F,,,
ap.per.00146,Hama Tuma,*,Tuma,,,Ethiopia,Eastern Africa,Index,M,,,
ap.per.00010,Amelia Veiga,,Veiga,,,Angola,Middle Africa,Index,F,,,
ap.per.00170,Len Verwey,,Verwey,,,Mozambique,Eastern Africa,Anthology,M,,,
ap.per.00290,Phillippa yaa de Villiers,,Villiers,,,South Africa,Southern Africa,Anthology,,,,
